item,quantity,cost,source,link
Raspberry Pi Zero 2 W,1,14.99,microcenter,https://www.microcenter.com/product/643085/raspberry-pi-zero-2-w
Camera,1,29.25,adafruit,https://www.adafruit.com/product/5657
e-ink display,1,34.99,amazon,https://www.amazon.com/dp/B074NR1SW2
64gb SD Card,1,0,myself,n/a
LiPo Batter 2200mAh,1,9.95,adafruit,https://www.adafruit.com/product/1781
powerboost 1000c,1,19.95,adafruit,https://www.adafruit.com/product/2465?srsltid=AfmBOop7pYqBCCEfueczVoFC1WawLn-4JDxrWe6MvBLNL__PzA9LbI22
SPDT Switch,1,0.95,adafruit,https://www.adafruit.com/product/805
12mm  Button,1,5.95,adafruit,https://www.adafruit.com/product/1010
Header for RPi,1,1.75,adafruit,https://www.adafruit.com/product/3907
0.1uF Ceramic Capacitor,2,1.95,adafruit,https://www.adafruit.com/product/753
220uF Electrolytic Capacitor,1,2.95,adafruit,https://www.adafruit.com/product/2192
"Screws M2.5 × 6 mm * 5, M2.5 x 10 mm * 4",9,16.95,adafruit,https://www.adafruit.com/product/3299
Custom PCB,1,8.6,JCLPCB,https://jlcpcb.com
Total Cost,,~148,,
